timestamp,open,high,low,close,volume
2026-09-01 08:45,100,104,98,102,1000
2026-09-01 09:45,102,105,100,104,1000
2026-09-01 10:00,104,108,103,107,1000
2026-09-01 10:15,107,111,106,110,1000
2026-09-01 10:30,110,116,109,115,1000
2026-09-01 10:45,115,121,114,120,1000
2026-09-01 11:00,120,165,119,160,1000
2026-09-02 08:45,200,204,198,202,1000
2026-09-02 09:45,202,205,200,204,1000
2026-09-02 10:00,204,203,198,199,1000
2026-09-02 10:15,199,201,194,195,1000
2026-09-02 10:30,195,197,190,191,1000
2026-09-02 10:45,191,193,184,185,1000
2026-09-02 11:00,185,187,175,178,1000
2026-09-03 08:45,300,304,298,302,1000
2026-09-03 09:45,302,305,300,304,1000
2026-09-03 10:00,304,306,299,301,1000
2026-09-03 10:15,301,303,298,300,1000
2026-09-03 10:30,300,302,297,299,1000
2026-09-03 10:45,299,301,296,298,1000
2026-09-03 11:00,298,300,294,295,1000
